Sloka,Class,EnglishTranslation
  विद्यार्थी सेवकः पान्थः क्षुधार्तो भयकातरः।                                    भाण्डारी च प्रतिहारी सप्तसुप्तान् प्रबोधयेत॥,Chanakya Slokas,"The student, the servant, the path, the hungry, the fearful.The storehouse should awaken the seven sleeping ones."
 सर्वो हि मन्यते लोक आत्मानं निरूपद्रवम् ॥  ,sanskrit-slogan,Everyone thinks that the world is free from all liquids.
  न देवो विद्यते काष्ठे न पाषाणे न मृण्मये।                                     भावे हि विद्यते देवस्तस्माद् भावो हि कारणम्॥,Chanakya Slokas,"There is no god in wood, stone or clay.For in being there is a god; therefore being is the cause."
 अति रूपेण वै सीता चातिगर्वेण रावणः।                                    अतिदानाद् बलिर्बद्धो ह्यति सर्वत्र वर्जयेत्॥,Chanakya Slokas,Sita was very beautiful and Ravana was very proudBali is bound by excessive gifts and should be avoided everywhere.
यदभावि न तदभावी भावि चेन्न तदन्यथा ॥   ,sanskrit-slogan,"If it is not in the future, it is not the future, but it is not otherwise."
 ज्ञात्वापि दोषमेव करोति लोकः ॥  ,sanskrit-slogan,"Even though he knows it, the world does a fault."
 हस्ती त्वंकुशमात्रेण बाजो हस्तेन तापते।                                  शृङ्गीलकुटहस्तेन खड्गहस्तेन दुर्जनः॥,Chanakya Slokas,The elephant burns with the hand of the elephant by the mere cuckoo.The wicked man with his horns in his hand with a sword in his hand
 शान्तितुल्यं तपो नास्ति न सन्तोषात्परं सुखम्।                                    न तृष्णया परो व्याधिर्न च धर्मो दयापरः॥,Chanakya Slokas,"There is no austerity equal to peace, nor happiness greater than satisfaction.There is no disease other than thirst nor righteousness nor is there any other than mercy."
अनुसूयुः कृतप्रज्ञः शोभनान्याचरन्  सदा।                            नकृच्छं महदाप्नोति सर्वत्र च विरोचते ॥                               ,Vidur Niti Slokas,They were always envious of the wise and always practiced beautifully.He does not suffer greatly and is always shining everywhere.
 उद्यमे नावसीदति ॥  ,sanskrit-slogan,It does not despair in the enterprise.
संसारयति  कृत्यानि सर्वत्र विचिकित्सते।                            चिरं करोति क्षिप्रार्थे स मूढो भरतर्षभ ॥                               ,Vidur Niti Slokas,The worldly things are treated everywhere.O best of the Bharatas that foolish man is doing a long time for a long time
हस्तस्य भूषणं दानम् ॥   ,sanskrit-slogan,The ornament of the hand is the gift.
मौनं सर्वार्थसाधनम् ॥   ,sanskrit-slogan,Silence is the means of all purposes.
   त्यज दुर्जनसंसर्गं भज साधुसमागमम् ।                                     कुरु पुण्यमहोरात्रं स्मर नित्यमनित्यतः॥,Chanakya Slokas,Give up the association of the wicked and worship the saintly ones.Do pious day and night remember ever and eternally.
 मृदुर्हि परिभूयते ॥    ,sanskrit-slogan,The soft is humiliated.
अमित्रं कुरुते मित्रं मित्रं द्वेष्टि हिनस्ति च ।                             कर्म चारभते दुष्टं तमाहुर्मूढचेतसम्  ॥                               ,Vidur Niti Slokas,He makes an enemy a friend and hates a friend and kills him.A person who practices evil deeds is called a foolish person.
जन्ममृत्युर्नियत्येको भुनक्तयेकः शुभाशुभम्।                                  नरकेषु पतत्येकः एको याति परां गतिम्॥,Chanakya Slokas,"Birth and death are certain, one is the one who eats, one is good and evil.One falls into hell alone and one attains the supreme destination."
  यद् दूरं यद् दुराराध्यं यच्च दूरे व्यवस्थितम् ।                                    तत्सर्वं तपसा साध्यं तपो हि दुरतिक्रमम् ॥,Chanakya Slokas,"Whatever is far away, whatever is difficult to worship, and whatever is situated far away.All that is achieved by austerities is difficult to transgress."
अर्थेषणा न व्यसनेषु गण्यते ॥   ,sanskrit-slogan,The desire for meaning is not counted in addictions.
 विनयाद् याति पात्रताम् ॥  ,sanskrit-slogan,"By humility, he becomes deserving."
यज्ञो दानमध्ययनं तपश्च चत्वार्येतान्यन्वेतानि सणि।                            दमः सत्यमार्जवमानृशंस्यं चत्वार्येतान्यनुयान्ति सन्तः ॥    ,Vidur Niti Slokas,"Sacrifice, charity, study and austerity are these four.The saintly persons follow the fourfold path of self-control, truthfulness, uprightness and compassion."
 भाग्यं फ़लति सर्वत्र न विद्या न च पौरुषम् ॥  ,sanskrit-slogan,"Fortunateness is everywhere, neither knowledge nor manliness."
वरयेत्कुलजां प्राज्ञो निरूपामपि कन्यकाम्।                                  रूपवतीं न नीचस्य विवाहः सदृशे कुले ॥,Chanakya Slokas,A wise man should choose a daughter born of a familyA beautiful woman is not married to a lowly person in a similar family
 अनुशासनेन एव मनुष्यः महान् भवति ॥  ,sanskrit-slogan,It is by discipline that a man becomes great.
ययोश्चित्तेन वा चित्तं निभृतं निभृतेन वा।                           समेति प्रज्ञया प्रज्ञा तयोमैत्री न जीवर्यति ॥    ,Vidur Niti Slokas,"By the mind of which the mind is calm or by the calm.By intelligence, intelligence, intelligence, and friendship, do not live."
 न नित्यं लभते दुःखं न नित्यं लभते सुखम् ॥  ,sanskrit-slogan,He does not always suffer suffering nor does he always attain happiness.
 अधना धनमिच्छन्ति वाचं चैव चतुष्पदाः।                                    मानवाः स्वर्गमिच्छन्ति मोक्षमिच्छन्ति देवताः॥,Chanakya Slokas,"The poor desire wealth and the four-legged words.Men desire heaven, the gods desire liberation."
 आत्मापराधवृक्षस्य फलान्येतानि देहिनाम् ।                                   दारिद्रयरोग दुःखानि बन्धनव्यसनानि च॥,Chanakya Slokas,"These are the fruits of the embodied tree of the tree of self-officiency.Poverty, diseases, pains, bondage and addiction."
  प्रत्युत्थानं च युद्धं च संविभागश्च बन्धुषु।                                    स्वयमाक्रम्य भोक्तं च शिक्षेच्चत्वारि कुक्कुटात्॥,Chanakya Slokas,Returning and fighting and distribution among relativesHe should invading himself and eat the food from the four chickens.
बुद्धयो भयं प्रणुदति तपसा विन्दते महत्।                            गुरुशुश्रूषया  ज्ञानं शान्तिं योगेन विन्दति ॥                               ,Vidur Niti Slokas,"The intellects are afraid of fear and attains great austerities.By serving the spiritual master, one attains knowledge, peace and yoga."
महते   योऽपकाराय नरस्य प्रभवेत्ररः।                           तेन वैरं समासज्य दूरस्थोऽमीति नाश्चसेत्  ॥    ,Vidur Niti Slokas,"A man who is a great man who is a great man for the sake of harm.Therefore, one should not be able to fight the enemy, saying, “I am in a distance.”"
समवेक्ष्येह धर्माथौं सम्भारान् योऽधिगच्छति।                            स वै सम्भृतसम्भारः सततं सुखमेधते ॥                               ,Vidur Niti Slokas,Translation Error
  गुणो भूषयते रूपं शीलं भूषयते कुलम्।                                    सिद्धिर्भूषयते विद्यां भोगो भूषयते धनम्॥,Chanakya Slokas,"The virtue adorns the form, character, adorns the family.Siddhi adorns knowledge and enjoyment adorns wealth."
 वरं मौनं कार्यं न च वचनमुक्तं यदनृतम्  ॥  ,sanskrit-slogan,It is better to silence nor should it be said that the words are false
 को हि भारः समर्थानां किं दूर व्यवसायिनाम्।                                  को विदेश सुविद्यानां को परः प्रियवादिनम्॥,Chanakya Slokas,Who is the burden of those who are able to do so far awayWho is the foreign to the well-educated and who is the other who speaks pleasantly?
  एकाकिना तपो द्वाभ्यां पठनं गायनं त्रिभिः।                                    चतुर्भिगमन क्षेत्रं पञ्चभिर्बहुभि रणम्॥,Chanakya Slokas,Reading and singing with two one austerities alone.The field of the four visitors is a battlefield by five
ईर्ष्यी घृणी न संतुष्टः क्रोधनो नित्यशङ्कितः।                                              परभाग्योपजीवी च षडेते नित्यदुःखिताः ॥    ,Vidur Niti Slokas,"He is jealous, hatred, not satisfied, and he is always suspicious of anger.These six are ever grieved for the sake of the fortune of others"
सत्यभाषणं पुण्यं वर्तते ॥   ,sanskrit-slogan,The truthful speech is pious.
  दुरनुबध्नं कार्य साधयेत् ॥  ,sanskrit-slogan,One should accomplish the task which is difficult to bind.
पंच त्वाऽनुगमिष्यन्ति यत्र यत्र गमिष्यसि ।                            मित्राण्यमित्रा मध्यस्था उपजीव्योपजीविनः ॥                               ,Vidur Niti Slokas,Five will follow you wherever you go.Friends are friends in the middle and subsistence
 दरिद्रता धीरयता विराजते कुवस्त्रता स्वच्छतया विराजते।                                    कदन्नता चोष्णतया विराजते कुरूपता शीलतया विराजते॥,Chanakya Slokas,Poverty is steadfast and bad clothes shines cleanly.It shines in hotness and shining in the form of morality.
उद्योगसम्पन्नं समुपैति लक्ष्मीः ॥   ,sanskrit-slogan,The goddess of fortune approaches him who is endowed with industry.
यो ध्रुवाणि परित्यज्य ह्यध्रुवं परिसेवते।                                 ध्रुवाणि तस्य नश्यन्ति चाध्रुवं नष्टमेव तत् ॥,Chanakya Slokas,He who abandons the poles and serves the impermanent.The poles of the universe are destroyed and the impermanent is destroyed.
आक्रु श्मानो नाक्रोशेन्मन्युरेव तितिक्षतः।                             आक्रोष्टारं निर्दहति सुकृतं चास्य विन्दति॥                               ,Vidur Niti Slokas,Akru shman nakroshenmanyureva tikshato.He burns the screaming and finds his good deeds.
निषेवते प्रशस्तानी निन्दितानी न सेवते ।                            अनास्तिकः श्रद्धान एतत् पण्डितलक्षणम् ॥                               ,Vidur Niti Slokas,She serves her praises and does not serve the blameworthy.This is the characteristic of the learned without faith.
जरा रुपं हरति हि धैर्यमाशा मृत्युः प्राणान्  धर्मचर्यामसूया।                            क्रोधः श्रियं शिलमनार्यसेवा हृियं कामः सर्वमेवाभिमानः॥ ,Vidur Niti Slokas,"For old age takes away the form of patience, hope, death, life, righteousness, and envy.Anger, prosperity, rock, ignoble service, the heart, desire, all egoism."
  स्वर्गस्थितानामिह जीवलोके चत्वारि चिह्नानि वसन्ति देहे।                                  दानप्रसङ्गो मधुरा च वाणी देवार्चनं ब्राह्मणतर्पणं च॥,Chanakya Slokas,"There are four signs in the body of the living beings who are in heaven.The occasion of charity and sweet speech, worship of the gods and satisfying the brahmins."
   बहूनां चैव सत्तवानां रिपुञ्जयः ।                                     वर्षान्धाराधरो मेधस्तृणैरपि निवार्यते॥,Chanakya Slokas,He also conquers the enemies of many beings.The sacrifice is prevented by the grass and the grass.
कष्टं च खलु मूर्खत्वं कष्ट च खलु यौवनम्।                                  कष्टात्कष्टतरं चैव परगृहेनिवासनम् ॥,Chanakya Slokas,And it is difficult to be stupid and it is hard to be youth.It is difficult to live in another’s house.
एकमेवाद्वितीयम तद् यद् राजन्नावबुध्यसे।                             सत्यम स्वर्गस्य सोपानम् पारवारस्य नैरिव ॥                               ,Vidur Niti Slokas,"There is only one and the same, O king, that you do not understand.It is true that the stairs of heaven is like a crossing of a paravara."
 सहायः समसुखदुःखः ॥    ,sanskrit-slogan,Help is equal pleasure and pain.
विद्वान् प्रशस्यते लोके विद्वान् सर्वत्र गौरवम्।                                  विद्वया लभते सर्वं विद्या सर्वत्र पूज्यते॥,Chanakya Slokas,A learned man is praised in the world and a learned man is honored everywhere.By knowledge he attains all knowledge and is worshiped everywhere.
  जलबिन्दुनिपातेन क्रमशः पूर्यते घटः।                                     स हेतु सर्वविद्यानां धर्मस्य च धनस्य च॥,Chanakya Slokas,The pot is gradually filled by the drop of water drops.He is the cause of all knowledge and righteousness and wealth
उपसर्गेऽन्यच्रके च दुर्भिक्षे च भयावहे।                                 असाधुजनसम्पर्के पलायति स जीवति॥,Chanakya Slokas,"In the prefix and in another character, in the famine, in fear.He who runs away from the unrighteous people is alive"
 नैव पश्यति जन्मान्धः कामान्धो नैव पश्यति।                                   मदोन्मत्ता न पश्यन्ति अर्थी दोषं न पश्यति॥,Chanakya Slokas,"The blind man who is born blind does not see the blind man of lust.The drunken, the drunken, do not see the evil, but the seeker does not see the fault."
 यस्मिन् देशे न सम्मानो न वृत्तिर्न च बान्धवाः।                        न च विद्यागमोऽप्यस्ति वासस्तत्र न कारयेत् ॥,Chanakya Slokas,"In a country where there is no respect, no profession, no relatives.There is no acquisition of knowledge, and one should not make a dress there."
चिकीर्षितं विप्रकृतं च यस्य नान्ये जनाः कर्म जानन्ति किञ्चित् ।                            मन्त्रे गुप्ते सम्यगनुष्ठिते च नाल्पोऽप्यस्य  च्यवते कश्चिदर्थः ॥                               ,Vidur Niti Slokas,"No one else knows anything else that has been done and distracted.There is no meaning in the mantra, even if the mantra is kept in a secret manner, and when it is properly performed."
 दाने तपसि शौर्ये च विज्ञाने विनये नये ।                                विस्मयो न हि कर्तव्यो बहुरत्ना वसुन्धरा॥,Chanakya Slokas,"In charity, austerity, valour, knowledge, humility and newness.The earth should not be astonished to be abundantly precious"
  प्रस्तावसदृशं वाक्यं प्रभावसदृशं प्रियम् ।                                   आत्मशक्तिसमं कोपं यो जानाति स पण्डितः॥,Chanakya Slokas,A statement like a proposal is dear to the influenceHe who knows anger equal to his own power is a wise man.
 मित्रसंग्रहेण बलं सम्पद्यते ॥    ,sanskrit-slogan,The collection of friends is attained by strength.
न सुखाल्लभ्यते सुखम् ॥    ,sanskrit-slogan,Happiness is not obtained by happiness.
 एतदर्थ कुलीनानां नृपाः कुर्वन्ति संग्रहम्।                                   आदिमध्यावसानेषु न त्यजन्ति च ते नृपम् ॥,Chanakya Slokas,"For this purpose the kings of the nobles collect.They do not abandon the king in the beginning, middle and end of the body."
 वृध्दा न ते ये न वदन्ति धर्मम् ॥  ,sanskrit-slogan,Those who do not speak of religion are not old.
यदतप्तं प्रणमति न तत् सन्तापयन्त्यपि।                            यश्च स्वयं नतं दारुं न तत् सत्रमयन्त्यपि ॥  ,Vidur Niti Slokas,"They do not torment what he is burning even when he is burning.And he who himself bows down to the wood, even if he does not offer it to the satra."
यः कार्यं न पश्यति सोऽन्धः ॥   ,sanskrit-slogan,He who does not see the work is blind.
चत्वारि राज्ञा तु महाबलेना वर्ज्यान्याहु: पण्डितस्तानि विद्यात् ।                            अल्पप्रज्ञै: सह मन्त्रं न कुर्यात दीर्घसुत्रै रभसैश्चारणैश्च ॥                               ,Vidur Niti Slokas,"The king should be avoided by the king with great strength and should be known as the learned.One should not chant the mantra with low intelligence, long sons, rabhasas and rangers."
  सुखस्य मूलं धर्मः ॥  ,sanskrit-slogan,The root of happiness is religion.
अष्टौ गुणाः पुरुषं दीपयन्ति प्रज्ञा च कौल्यं च दमः श्रुतं च।                             पराक्रमश्चाबहुभाषिता च दानं यथाशक्ति कृतज्ञता च ॥                               ,Vidur Niti Slokas,"The eight qualities illuminate a man, wisdom, courage, self-control and hearing.He was prowess and had many words and charity and gratitude as much as he could."
 आलस्योपहता विद्या परहस्तं गतं धनम्।                                   अल्पबीजहतं क्षेत्रं हतं सैन्यमनायकम्॥,Chanakya Slokas,The knowledge of the other is the wealth that has been lost by laziness.The field was killed by little seeds and the army was killed and the hero was killed.
जिता सभा वस्त्रवता मिष्टाशा गोमता जिता।                            अध्वा जितो यानवता सर्वं शीलवता जितम् ॥                               ,Vidur Niti Slokas,"The assembly winners, dressed in clothes, won the sweetness of the cow.He conquered the chariot and conquered everything by his character."
ते पुत्रा ये पितुर्भक्ताः ॥   ,sanskrit-slogan,Those sons who were devoted to their father
 दूरस्थोऽपि न दूरस्थो यो यस्य मनसि स्थितः ।                                   यो यस्य हृदये नास्ति समीपस्थोऽपि दूरतः॥,Chanakya Slokas,"Even if he is far away, he is not far away from anyone whose mind is in his mind.Whoever is not in his heart even in the presence of a nearby"
षडेव तु गुणाः पुंसा न हातव्याः कदाचन।                            सत्यं दानमनालस्यमनसूया क्षमा धृतिः ॥                               ,Vidur Niti Slokas,"The six qualities should never be lost by a man.Truth, charity, laziness, envy, forgiveness, patience."
बलवान हीनेन विग्रहणीयात् ॥  ,sanskrit-slogan,It should be dissolved by a strong deficiency.
सत्येन रक्ष्यते धर्मो विद्या योगेन रक्ष्यते ।                            मृजया रक्ष्यते रुपं कुलं वृत्तेन रक्ष्यते ॥                               ,Vidur Niti Slokas,"Truth protects religion, knowledge is protected by yoga.The form is protected by the widow and the family is protected by the circle."
  अजीर्णे भेषजं वारि जीर्णे तद् बलप्रदम्।                                    भोजने चामृतं वारि भोजनान्तें विषप्रदम्॥,Chanakya Slokas,It is strong in digestion in digestion when indigestion is indigestionIt is poisonous in food and water is poisonous at the end of the food
 सदाचारः सर्वेषां धर्माणां श्रेष्ठः अस्ति ॥  ,sanskrit-slogan,The virtuous conduct is the best of all religions.
विद्वान सर्वत्र पूज्यते ॥   ,sanskrit-slogan,A learned person is worshiped everywhere.
दुःखादुद्विजते जन्तुः सुखं सर्वाय रुच्यते ॥   ,sanskrit-slogan,A living being is afraid of pain and is like a thing that is pleasing to everyone.
प्रसादो निष्फलो यस्य क्रोधश्चापि निरर्थकः।                            न तं भर्तारमिच्छनित षण्ढं पतिमिव स्त्रियः ॥                               ,Vidur Niti Slokas,His grace is fruitless and his anger is useless.Just as a woman does not wish to have a husband for her husband.
समाने शोभते प्रीती राज्ञि सेवा च शोभते।                                  वाणिज्यं व्यवहारेषु स्त्री दिव्या शोभते गृहे ॥,Chanakya Slokas,The lover is equally beautiful and the service of the queen is beautiful.A woman is beautiful in her house in commercial behavior.
हेतुरत्र भविष्यति ॥   ,sanskrit-slogan,The reason will be here.
पर्जन्यनाथाः पशवो राजानो मन्त्रिबान्धवाः ।                            पतयो बान्धवाः स्त्रीणां ब्राह्मणा वेदबान्धवाः ॥                               ,Vidur Niti Slokas,"The lords of the rains were the animals, kings, ministers and relatives.The husbands are relatives of women, and the brāhmaṇas are the relatives of the Vedas."
यस्मै देवाः प्रयच्छन्ति पुरुषाय प्रराभवम्।                            बुद्धिं तस्यापकर्षन्ति सोऽवाचीनानि पश्यति  ॥                               ,Vidur Niti Slokas,To whom the gods give to the man I have been born.They pull his intelligence and he sees the unfavorable things.
दानं होमं दैवतं मङ्गलानि प्रायश्चित्तान् विविधान् लोकवादान् ।                            एतानि यः कुरुत नैत्यकानि तस्योत्थानं देवता राधयन्ति ॥    ,Vidur Niti Slokas,"Charity, sacrifice, deity, auspiciousness, atonement and various kinds of popular arguments.The demigods worship the Lord who performs these rituals daily."
 न विश्वसेत्कुमित्रे च मित्रे चापि न विश्वसेत्।                                    कदाचित्कुपितं मित्रं सर्वं गुह्यं प्रकाशयेत् ॥,Chanakya Slokas,He should not trust a bad friend nor should he trust a friend.Sometimes a angry friend should reveal all the secrets.
 दुःखेनासाद्यते पात्रम् ॥  ,sanskrit-slogan,The vessel is achieved by suffering.
 अलब्धलाभो नालसस्य ॥  ,sanskrit-slogan,The laziness of the laziness is not obtained.
अस्माभिः सदा चरित्रं रक्षणीयम् ॥   ,sanskrit-slogan,We should always protect your character.
परं क्षिपति दोषेण वर्त्तमानः स्वयं तथा ।                            यश्च क्रुध्यत्यनीशानः स च मूढतमो नरः ॥                               ,Vidur Niti Slokas,"He throws it away, and he’s just doing it with a fault.And he who is angry with the Lord is the most foolish."
  उपार्जितानां वित्तानां त्याग एव हि रक्षणम्।                                   तडागोदरसंस्थानां परिदाह इदाम्मससाम्॥,Chanakya Slokas,It is the renunciation of the earned wealth.The ponds and the abdomen of the Idammasas are burnt.
    पुस्तकेषु च या विद्या परहस्तेषु च यद्धनम् ।                                     उत्पन्नेषु च कार्येषु न सा विद्या न तद्धनम् ॥,Chanakya Slokas,The knowledge in the books and the wealth in the hands of others.There is no knowledge in the works that have arisen and that is not wealth.
 अनर्थाः संघचारिणः ॥  ,sanskrit-slogan,They are miserable and confused.
असन्त्यागात्  पापकृतामपापांस्तुल्यो दण्डः स्पृशते मिश्रभावात्।                             शुष्केणार्दंदह्यते मिश्रभावात्तस्मात् पापैः सह सन्धि नकुर्य्यात् ॥                               ,Vidur Niti Slokas,"The punishment of the sin committed by sin by non-renunciation touches the mixture of the mixture.It is burnt with dryness, and therefore one should not make a treaty with the sinful."
" श्रध्दा ज्ञानं ददाति, नम्रता मानं ददाति, योग्यता स्थानं ददाति ॥  ",sanskrit-slogan,"The faithful gives knowledge, humility, honor, and qualifications give a place."
  विज्ञान दीपेन संसार भयं निवर्तते ॥ ,sanskrit-slogan,"By the lamp of knowledge, the fear of the world is relieved."
लोभमूलानि पापानि ॥   ,sanskrit-slogan,They are the roots of greed.
क्षिप्रं विजानाति चिरं शृणोति विज्ञाय चार्थ भते न कामात्।                            नासम्पृष्टो व्युपयुङ्क्ते परार्थे तत् प्रज्ञानं प्रथमं पण्डितस्य ॥                               ,Vidur Niti Slokas,"He quickly knows and hears it for a long time and knows it and does not desire for wealth, not from lust.When a person is not touched by a learned person, he is the first person to understand the purpose of others’ for the sake of others."
इन्द्रियैरिन्द्रियार्थेषु वर्तमानैरनिग्रहैः।                            तैरयं ताप्यते लोको नक्षत्राणि ग्रहैरिव ॥ ,Vidur Niti Slokas,"By the senses, the objects of the senses and the uncontrolled.The world is tormented by these, just as the stars are in the planets."
स्वभावो दुरतिक्रमः ॥   ,sanskrit-slogan,Nature is difficult to transgress.
 आचारः कुलमाख्याति देशमाख्याति भाषणम्।                                     सम्भ्रमः स्नेहमाख्याति वपुराख्याति भोजनम् ॥,Chanakya Slokas,"Conduct tells the family, tells the country, speech.Confusion, affection, describes the body, and the food is described."
अप्रयत्नात् कार्यविपत्तिभर्वती ॥   ,sanskrit-slogan,She is not trying to do so without effort.
रूपयौवनसम्पन्ना विशालकुलसम्भवाः।                                  विद्याहीना न शोभन्ते निर्गन्धा इव किंशुकाः ॥,Chanakya Slokas,They were endowed with beauty and youth and were born of large families.Without knowledge they do not look beautiful like fragrances without fragrance
  वृथा वृष्टिः समुद्रेषु वृथा तृप्तेषु भोजनम्।                                     वृथा दानं धनाढ्येषु वृथा दीपो दिवापि च॥,Chanakya Slokas,In vain rain is in the seas and food is in vain.Charity is in vain in wealth and in vain a lamp is in vain
स्त्रीषु राजसु सर्पेषु स्वाध्यायप्रभुशत्रुषु।                            भोगेष्वायुषि विश्चासं कः प्राज्ञः कर्तुर्महति ॥  ,Vidur Niti Slokas,"Among women, kings, snakes, their study of the masters of their own study.Who is wise in the pleasures of life and who is the greatest of the doers?"
 अपरीक्ष्यकारिणं श्रीः परित्यजति ॥  ,sanskrit-slogan,The goddess of fortune gives up the unexamined.
  क्रोधो वैवस्वतो राजा तृष्णा वैतरणी नदी।                                   विद्या कामदुधा धेनुः संतोषो नन्दनं वनम्॥,Chanakya Slokas,"Anger is the king of Vaivasvata, thirst and Vaitarani.Knowledge is the milk of desire and the cow is content and the forest of Nandana."
"मर्माण्यस्थीनि  ह्रदयं तथासून् ,रुक्षा वाचो निर्दहन्तीह पुंसाम्।                            तस्माद् वाचुमुषतीमुग्ररुपां धर्मारामो नित्यशो वर्जयीत॥ ",Vidur Niti Slokas,The hearts of the marrow and the bones of the marrows are burnt by men here.Therefore one should avoid the fierce form of Vachumushati and should avoid the Dharma.
 पृथिव्यां त्रीणी रत्नानि अन्नमापः सुभाषितम् ।                                    मूढैः पाषाणखण्डेषु रत्नसंज्ञा विधीयते ॥,Chanakya Slokas,"There are three gems on earth, food, water, good proverbs.Fools are prescribed in the pieces of stones and are called ratna."
कांश्चिदर्थात्ररः प्राज्ञो लघुमूलान्महाफलान्।                            क्षिप्रमारभते कर्तुं न विघ्नयति तादृशान् ॥                               ,Vidur Niti Slokas,The wise man of some meanings are greatly fruitful from the small roots.He quickly begins to do such things and does not interfere with such things.
रथः शरीरं पुरुषस्य राजत्रात्मा नियन्तेन्द्रियाण्यस्य चाश्चाः।                            तैरप्रमत्तः कुशली सदश्वैर्दान्तैः सुखं याति रथीव धीरः ॥    ,Vidur Niti Slokas,"The chariot is the body of the man, the king is the self, and the senses are the controller of the senses.They are not careless and well with their good horses and with their teeth like a steadfast charioteer"
 अन्तर्गतमलो दुष्टस्तीर्थस्नानशतैरपि।                                   न शुद्धयतियथाभाण्डं सुरया दाहितं च तत्॥,Chanakya Slokas,Inside the impure evil is even hundreds of baths.It does not purify the vessels as a vessel burned by wine
 अभ्यावहति कल्याणं विविधं वाक् सुभाषिता ॥  ,sanskrit-slogan,The good speech of speech is the source of all good fortune.
एको धर्म: परम श्रेय: क्षमैका शान्तिरुक्तमा।                            विद्वैका परमा तृप्तिरहिंसैका सुखावहा ॥                               ,Vidur Niti Slokas,One religion is the supreme good: forgiveness is one peacefulness.Vidvaika is the supreme satisfaction and the one is the one who brings happiness.
पात्रत्वाद् धनमाप्नोति ॥   ,sanskrit-slogan,He gets wealth because he is worthy.
 बहूनामप्यसाराणां समवायो हि दुर्जयः ॥  ,sanskrit-slogan,It is invincible that the combination of many essences is invincible
विद्या परमं बलम ॥  ,sanskrit-slogan,Vidya is the supreme strength.
पन्चाग्न्यो मनुष्येण परिचर्या: प्रयत्नत:।                           पिता माताग्निरात्मा च गुरुश्च भरतर्षभ ॥ ,Vidur Niti Slokas,"The five fires should be attended by a man with great effort.O best of the Bharatas, the father, mother, fire, self and spiritual master"
कुलं शीलेन रक्ष्यते ॥   ,sanskrit-slogan,The family is protected by virtue.
"अतितृष्णा न कर्तव्या, तृष्णां नैव परित्यजेत् ॥   ",sanskrit-slogan,"One should not be excessively thirsty, nor should one give up thirst."
द्वाविमौ पुरुषौ राजन स्वर्गस्योपरि तिष्ठत: ।                             प्रभुश्च क्षमया युक्तो दरिद्रश्च प्रदानवान् ॥  ,Vidur Niti Slokas,"O King, these two men, O King, remain upon the heavenly planets.He was endowed with forgiveness and gave him a poor man"
पण्डितोऽपि वरं शत्रुर्न मूर्खो हितकारकः ॥   ,sanskrit-slogan,Even a learned man is better than an enemy and is not a fool who is beneficial
